ISACTIVE,ISARCHIVED,ISDELETED,NAME,PRODUCTCODE
TRUE,FALSE,FALSE,Pelvis,SKU10048
TRUE,FALSE,FALSE,Birth pool,pool 
TRUE,FALSE,FALSE,Baby Massage doll,SKU 10024
TRUE,FALSE,FALSE,Birthing ball - pump,SKU 10049
TRUE,FALSE,FALSE,Peterkin demonstration doll,SKU 10091/10092/10093/10068
TRUE,FALSE,FALSE,Breastfeeding positioning doll,SKU 10158/10189
TRUE,FALSE,FALSE,Breastfeeding step-by-step - cards,SKU 10061
TRUE,FALSE,FALSE,Ardo Belly Balls - with breast,SKU 10003
TRUE,FALSE,FALSE,Antenatal demonstration doll,SKU 10025/10035
TRUE,FALSE,FALSE,NCT stages of labour cross sectional charts,SKU 10083
TRUE,FALSE,FALSE,Birthing ball - 65cm,SKU 10051
TRUE,FALSE,FALSE,Birthing ball - 75cm,SKU 10052
TRUE,FALSE,FALSE,Breastfeeding step-by-step - poster - A3,SKU 10019
TRUE,FALSE,FALSE,Real Baby Milk DVD,SKU 10162
TRUE,FALSE,FALSE,Positions for labour and birth teaching cards - A4,SKU 10179
TRUE,FALSE,FALSE,What's in a nappy poster - A3,SKU 10109
TRUE,FALSE,FALSE,Baby Massage short mat,SKU 10110
TRUE,FALSE,FALSE,Ardo Belly Balls - belly balls only,SKU 10002
TRUE,FALSE,FALSE,Labour and birth positions - pack of 2 posters - A2,SKU10243
TRUE,FALSE,FALSE,Positions for labour and birth teaching cards - A5,SKU 10179
